Container Name,Test Type,Num CPUs,Total Messages,Successful Messages,Failed Messages,Execution Time (s),Messages/s,Throughput (MB/s),Avg Latency (ms),Min Latency (ms),Max Latency (ms),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB),Pattern,Num Clients,Message Size (KB),Rate (msg/s),Bursts,Interval (s),Duration (s)
ws-cowboy-27-self,concurrency_100_8,8,300,300,0,1.7049167156219482,175.961674403879,1.3747005812803046,8.29200784661225,0.34345799940638244,61.91160899834358,0.028158429220860426,0.016516014514285714,7,6.506666666666667,18.8,19.52,84.08333333333333,86.35,252.25,burst,100,8,,3,0.5,
ws-cowboy-27-self,concurrency_1000_8,8,3000,3000,0,2.489567279815674,1205.028690858324,9.414286647330655,45.784326633648256,2.658532997884322,159.32424900165643,0.4382574520358909,0.17603760122857143,7,19.2275,73.96,76.91,134.3875,167.2,537.55,burst,1000,8,,3,0.5,
ws-cowboy-27-self,concurrency_5000_8,8,15000,15000,0,6.888657331466675,2177.4925472750037,17.011660525585967,291.05944454533335,2.348149002500577,743.08454399943,6.7807587027837855,0.9843367693454543,11,80.39166666666667,218.86,482.35,280.325,488.6,1681.9499999999998,burst,5000,8,,3,0.5,
