Container Name,Test Type,Num CPUs,Total Messages,Successful Messages,Failed Messages,Execution Time (s),Messages/s,Throughput (MB/s),Avg Latency (ms),Min Latency (ms),Max Latency (ms),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB),Pattern,Num Clients,Message Size (KB),Rate (msg/s),Bursts,Interval (s),Duration (s)
ws-cowboy-27-self,payload_5_8,8,15,15,0,1.54547119140625,9.705777812882587,0.07582638916314521,1.1020127996744122,0.24440299966954626,2.460979998431867,0.00371872983246053,0.0024062110333333327,6,0.5566666666666666,1.2,1.67,82.34,82.45,247.02,burst,5,8,,3,0.5,
ws-cowboy-27-self,payload_5_1024,8,15,15,0,1.6535406112670898,9.071443360865304,9.071443360865304,26.595787399855908,10.903643997153267,43.14286500084563,0.013594384525621589,0.008221379283333333,6,2.5766666666666667,7.27,7.73,84.18,87.68,252.54000000000002,burst,5,1024,,3,0.5,
ws-cowboy-27-self,payload_5_65536,8,15,15,0,7.301055431365967,2.0544974820433084,131.48783885077174,1616.3954239998322,790.4152720002457,2000.410324002587,10.360295072827599,1.4190133426899998,10,75.94,181.16,455.64,737.0116666666667,981.8,4422.07,burst,5,65536,,3,0.5,
