Container Name,Test Type,Num CPUs,Total Messages,Successful Messages,Failed Messages,Execution Time (s),Messages/s,Throughput (MB/s),Avg Latency (ms),Min Latency (ms),Max Latency (ms),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB),Pattern,Num Clients,Message Size (KB),Rate (msg/s),Bursts,Interval (s),Duration (s)
ws-nginx-java-self,burst_5_8_3_0.5,8,15,15,0,1.6850910186767578,8.901596313639466,0.06954372120030833,40.300244333290415,0.6669430003967136,123.49203499979922,0.10581209419503551,0.062793103175,4,1.1433333333333333,2.33,3.4299999999999997,871.56,1187.84,2614.68,burst,5,8,,3,0.5,
ws-nginx-java-self,burst_5_1024_3_0.5,8,15,15,0,2.662386417388916,5.634043165946948,5.634043165946948,208.30912106636484,93.86835800250992,407.49242099991534,0.5349422872982211,0.20092586252857145,7,17.125,67.33,68.5,990.122,1253.376,3960.488,burst,5,1024,,3,0.5,
ws-nginx-java-self,burst_5_65536_3_0.5,8,17,14,3,66.19525456428528,0.25681599250427406,16.43622352027354,15944.968709429044,6371.918189001008,29372.927594999055,144.71464893043506,2.1861785997045446,44,68.74114285714286,543.57,2405.94,1863.5929142857142,2332.672,65225.75199999999,burst,5,65536,,3,0.5,
ws-nginx-java-self,burst_50_8_3_0.5,8,150,27,123,3.2786104679107666,45.75108920932126,0.3574303844478223,555.7590661112583,1.582846001838334,1689.1772169983597,6.175056763838546,1.8834371524999998,5,100.61,397.75,402.44,1729.162,2236.416,6916.648,burst,50,8,,3,0.5,
ws-nginx-java-self,burst_50_1024_3_0.5,8,150,27,123,5.557538747787476,26.99036512515848,26.99036512515848,775.9964937034022,96.01311099686427,2591.7991589994926,8.869437806414057,1.5959290990000004,10,107.292,452.6,536.46,1826.8944,2236.416,9134.472,burst,50,1024,,3,0.5,
ws-nginx-java-self,burst_50_65536_3_0.5,8,152,14,138,78.06371998786926,1.9471272957991252,124.61614693114402,17915.825838714227,6887.53019700016,33188.81237899768,156.2838834765128,2.002004048754,50,59.05073170731707,535.38,2421.08,2211.1035121951218,2324.48,90655.24399999999,burst,50,65536,,3,0.5,
ws-nginx-java-self,burst_100_8_3_0.5,8,300,21,279,5.454871416091919,54.99671341747806,0.42966182357404736,1181.886581142386,2.1347160000004806,3754.161261000263,20.488650634227294,3.756028157471429,7,188.88600000000002,485.49,944.4300000000001,1829.2728,2243.584,9146.364,burst,100,8,,3,0.5,
ws-nginx-java-self,burst_100_1024_3_0.5,8,300,24,276,6.399928569793701,46.875523176295445,46.875523176295445,1165.3359810005288,100.04905399910058,3743.998919002479,10.1286737869647,1.5826229428199998,10,81.51666666666667,406.18,489.1,1944.3673333333334,2291.712,11666.204,burst,100,1024,,3,0.5,
ws-nginx-java-self,burst_100_65536_3_0.5,8,301,7,294,63.063610553741455,4.772958562902044,305.4693480257308,17674.045558286056,6426.487964999978,38183.326373000455,133.94384061345988,2.123948176093023,43,72.43441176470589,503.55,2462.77,2244.112823529412,2362.368,76299.836,burst,100,65536,,3,0.5,
ws-nginx-java-self,stream_5_8_10_5,8,235,235,0,5.073714017868042,46.31715527765324,0.36185277560666596,5.3963709787801255,0.7416799999191426,129.66480099930777,0.1959386677052378,0.0386183902,8,4.892,12.34,24.46,983.4216,1176.576,4917.108,stream,5,8,10,,,5
ws-nginx-java-self,stream_5_1024_10_5,8,62,62,0,5.585308313369751,11.10055103880092,11.10055103880092,194.89588938684452,87.07926100032637,410.1128489965049,4.603634609555394,0.8242400152799999,10,43.882,107.01,219.41,1051.8912,1259.52,5259.456,stream,5,1024,10,,,5
ws-nginx-java-self,stream_5_65536_10_5,8,5,5,0,22.41953206062317,0.223019819792841,14.273268466741824,14157.654185799765,6559.656527999323,21398.06685899748,55.726258770804826,2.4856120377588233,17,67.16214285714285,516.42,940.27,1307.6574285714285,2013.184,18307.203999999998,stream,5,65536,10,,,5
ws-nginx-java-self,stream_50_8_10_5,8,242,242,0,5.356604337692261,45.17787477733678,0.3529521466979436,64.54605398345645,0.8234570013883058,1881.5333350030414,5.403364591649673,1.0087294582555555,9,96.19399999999999,458.39,480.9699999999999,1847.0424000000003,2256.896,9235.212000000001,stream,50,8,10,,,5
ws-nginx-java-self,stream_50_1024_10_5,8,56,56,0,6.4081926345825195,8.738813452296958,8.738813452296958,529.1465139108758,97.8949050004303,2278.919117998157,15.300533232873955,2.387651886477778,9,116.24833333333333,487.39,697.49,1896.5873333333332,2235.392,11379.524,stream,50,1024,10,,,5
ws-nginx-java-self,stream_50_65536_10_5,8,5,5,0,38.45269417762756,0.13002990055529284,8.321913635538742,17540.514521999285,6483.711738997954,38073.84776500112,95.80608170263866,2.491531055277273,22,62.470454545454544,578.38,1374.35,2140.3709090909088,2293.76,47088.15999999999,stream,50,65536,10,,,5
ws-nginx-java-self,stream_100_8_10_5,8,150,150,0,7.841580629348755,19.128796487610373,0.14944372255945604,167.25474853315973,0.6497959984699264,2396.0177519984427,18.708800497422565,2.3858455816166666,12,157.59166666666667,535.66,945.55,1932.3513333333333,2284.544,11594.108,stream,100,8,10,,,5
ws-nginx-java-self,stream_100_1024_10_5,8,48,48,0,11.248041868209839,4.267409435562437,4.267409435562437,786.3248805210029,86.88214300127584,6051.705534002394,26.02537265380592,2.313769183893333,15,108.2375,461.92,865.9,2007.9170000000001,2274.304,16063.336000000001,stream,100,1024,10,,,5
