Container Name,Test Type,Num CPUs,Total Messages,Successful Messages,Failed Messages,Execution Time (s),Messages/s,Throughput (MB/s),Avg Latency (ms),Min Latency (ms),Max Latency (ms),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB),Pattern,Num Clients,Message Size (KB),Rate (msg/s),Bursts,Interval (s),Duration (s)
ws-nginx-tornado-self,payload_5_8,8,15,15,0,1.546325922012329,9.700412950770156,0.07578447617789184,1.1169026668843192,0.2419340016786009,2.824857998348307,0.003105397744702029,0.0020082426999999997,1,0.52,0.52,1.56,19.236666666666665,19.33,57.709999999999994,burst,5,8,,3,0.5,
ws-nginx-tornado-self,payload_5_1024,8,15,15,0,1.5843122005462646,9.46783089521627,9.46783089521627,8.932058867018592,3.689175002364209,20.53882299878751,0.004498072311527824,0.002839132533333333,3,2.04,2.04,6.12,21.163333333333334,22.21,63.49,burst,5,1024,,3,0.5,
ws-nginx-tornado-self,payload_5_65536,8,15,0,15,0.8499112129211426,17.648902346452214,1129.5297501729417,0.0,0.0,0.0,0.004509867125872564,0.0053062803,1,0.0,0.0,0.0,19.23,19.32,57.69,burst,5,65536,,3,0.5,
