Container Name,Test Type,Num CPUs,Total Messages,Successful Messages,Failed Messages,Execution Time (s),Messages/s,Throughput (MB/s),Avg Latency (ms),Min Latency (ms),Max Latency (ms),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB),Pattern,Num Clients,Message Size (KB),Rate (msg/s),Bursts,Interval (s),Duration (s)
ws-nginx-python-websockets-self,concurrency_100_8,8,300,300,0,1.843576192855835,162.7272044207069,1.2713062845367726,19.268623409964977,1.1184789982507937,85.63999999751104,0.06247118812241094,0.03388587266666667,3,15.68,15.68,47.04,21.013333333333335,23.44,63.040000000000006,burst,100,8,,3,0.5,
ws-nginx-python-websockets-self,concurrency_1000_8,8,3000,717,2283,2.438101053237915,1230.4658151949266,9.613014181210364,36.50301536681341,2.314748999197036,107.07909299890161,0.20014165892206204,0.0820891565,3,25.01,25.01,100.04,30.7,39.73,122.8,burst,1000,8,,3,0.5,
ws-nginx-python-websockets-self,concurrency_5000_8,8,15000,717,14283,4.988558769226074,3006.8804827024424,23.49125377111283,48.80624491353088,4.770996998558985,114.6845100010978,0.3358451922380359,0.06732309025,4,14.99,22.18,74.95,28.1,40.17,140.5,burst,5000,8,,3,0.5,
