Container Name,Test Type,Num CPUs,Total Messages,Successful Messages,Failed Messages,Execution Time (s),Messages/s,Throughput (MB/s),Avg Latency (ms),Min Latency (ms),Max Latency (ms),Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB),Pattern,Num Clients,Message Size (KB),Rate (msg/s),Bursts,Interval (s),Duration (s)
ws-yaws-27-self,concurrency_100_8,8,300,300,0,1.7520194053649902,171.23098013717626,1.3377420323216895,13.489205073274206,0.9451969999645371,47.73685399777605,0.09225181878504254,0.05265456450000001,6,24.626666666666665,72.35,73.88,63.23,80.87,189.69,burst,100,8,,3,0.5,
ws-yaws-27-self,concurrency_1000_8,8,3000,3000,0,2.888918876647949,1038.4507589499847,8.112896554296755,86.21076959863058,4.072709001775365,194.80606199795147,2.0800325444399035,0.7200037914714286,7,76.68,280.24,306.72,269.46750000000003,360.6,1077.8700000000001,burst,1000,8,,3,0.5,
ws-yaws-27-self,concurrency_5000_8,8,15000,15000,0,7.33868670463562,2043.9624422888862,15.968456580381924,395.43315505673286,24.086076002276968,887.3678640011349,29.939502648919458,4.0796812636799995,10,176.705,571.82,1060.23,632.6,1531.904,3795.6000000000004,burst,5000,8,,3,0.5,
