Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
dy-erlindex26-self,unknown,8,100,100,0,0.1119239330291748,893.463956220457,0.001591768157068312,0.014221874749999999,2,0.8049999999999999,1.44,1.6099999999999999,35.78,35.88,107.34
dy-erlindex26-self,unknown,8,1000,1000,0,0.7938578128814697,1259.6714219770602,0.29511061802652355,0.37174241185,2,0.45,0.89,0.9,36.98,37.12,110.94
dy-erlindex26-self,unknown,8,5000,5000,0,3.9270694255828857,1273.2140581542842,8.815098517601324,2.2447014713249995,4,48.7675,124.71,195.07,41.2925,44.35,165.17
dy-erlindex26-self,unknown,8,8000,8000,0,6.27447772026062,1275.0065195335028,17.046378865852457,2.7167805235499998,6,58.078333333333326,133.5,348.46999999999997,40.788333333333334,42.99,244.73000000000002
dy-erlindex26-self,unknown,8,10000,10000,0,8.272785663604736,1208.7826769154633,27.52730092813345,3.3274524504166667,6,70.99,139.82,496.93,42.69142857142857,45.3,298.84
dy-erlindex26-self,unknown,8,15000,15000,0,12.820585250854492,1169.9933900443625,62.73529819813992,4.893325614285714,7,92.97444444444444,152.18,836.77,49.70666666666667,56.07,447.36
dy-erlindex26-self,unknown,8,20000,19999,1,18.152241230010986,1101.79232121123,80.73400102499583,4.4476051194999995,10,111.63636363636364,158.61,1228.0,48.92636363636364,57.72,538.19
dy-erlindex26-self,unknown,8,30000,30000,0,28.786051273345947,1042.1714223714348,136.74091501950593,4.750249130075,16,125.44588235294117,194.86,2132.58,48.80588235294118,55.8,829.7
dy-erlindex26-self,unknown,8,40000,39998,2,39.0039324760437,1025.5376178945055,205.03728888363705,5.256836320531818,22,144.30818181818182,206.92,3174.78,57.05181818181818,91.88,1255.1399999999999
dy-erlindex26-self,unknown,8,50000,49994,6,49.976885080337524,1000.462512211902,234.6132036643429,4.694434302722222,27,128.97703703703704,175.51,3482.38,73.33444444444444,143.5,1980.03
dy-erlindex26-self,unknown,8,60000,59997,3,64.07162237167358,936.4520169622914,334.47424685460817,5.220318051482352,34,148.16882352941175,208.67,5037.74,89.71441176470589,194.3,3050.29
dy-erlindex26-self,unknown,8,70000,69994,6,77.53871893882751,902.7747808836638,419.6669620179304,5.412353566855,40,149.42341463414633,218.27,6126.36,112.19146341463416,244.0,4599.85
dy-erlindex26-self,unknown,8,80000,79991,9,93.8074107170105,852.8110880422506,530.0406738842013,5.650307047522918,48,158.15571428571428,229.41,7749.63,114.25326530612244,272.5,5598.41
