Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
dy-yaws-26-self,unknown,8,100,100,0,0.2057971954345703,485.91527104553415,0.00238239091664917,0.01157640128,5,0.6733333333333333,1.33,2.02,43.52,43.62,130.56
dy-yaws-26-self,unknown,8,1000,1000,0,0.8682441711425781,1151.7497418773753,0.14118876430129318,0.16261412283999999,5,1.0666666666666667,2.07,3.1999999999999997,41.23,41.61,123.69
dy-yaws-26-self,unknown,8,5000,5000,0,3.894862413406372,1283.7423942857831,6.447600341581758,1.65541157998,5,49.0225,112.67,196.09,44.6375,45.57,178.55
dy-yaws-26-self,unknown,8,8000,8000,0,6.189010143280029,1292.6138129998585,13.831571629398253,2.234860067957143,7,56.77333333333333,120.23,340.64,44.17166666666666,44.9,265.03
dy-yaws-26-self,unknown,8,10000,10000,0,9.411558628082275,1062.5232647610492,19.390688411755054,2.060305755722222,9,59.58714285714286,114.02,417.11,42.33142857142857,43.05,296.32
dy-yaws-26-self,unknown,8,15000,15000,0,14.096237182617188,1064.1137635295531,32.35008209455319,2.294944507208333,12,72.17444444444443,121.91,649.5699999999999,43.349999999999994,44.55,390.15
dy-yaws-26-self,unknown,8,20000,20000,0,18.933012008666992,1056.3559559801986,49.29472354491347,2.6036387407533335,15,72.87833333333333,111.96,874.54,45.725,46.6,548.7
dy-yaws-26-self,unknown,8,30000,28231,1769,33.06347155570984,907.3457380133818,90.43895813212028,2.735313440385,20,70.40315789473685,136.79,1337.66,44.078947368421055,45.21,837.5
dy-yaws-26-self,unknown,8,40000,28335,11665,61.295257329940796,652.5790369830337,157.9434590998051,2.5767647609279996,25,46.232424242424244,142.1,1525.67,43.40030303030303,45.07,1432.21
dy-yaws-26-self,unknown,8,50000,37700,12300,71.89726376533508,695.436757693514,213.92776921597883,2.975464684083333,30,60.17763157894737,184.6,2286.75,42.89421052631579,43.63,1629.98
dy-yaws-26-self,unknown,8,60000,48183,11817,84.47044658660889,710.307597799676,268.72653830596846,3.181308364818918,37,74.36977272727273,183.22,3272.27,43.74840909090909,44.82,1924.93
dy-yaws-26-self,unknown,8,70000,56463,13537,101.26173281669617,691.2779196334106,376.5876027510803,3.718952779850001,40,82.17903846153847,189.56,4273.31,43.68038461538462,45.02,2271.38
dy-yaws-26-self,unknown,8,80000,58023,21977,126.19434118270874,633.9428475970495,363.85045026427,2.8832548817499997,46,56.12828125,164.51,3592.21,43.051562499999996,44.07,2755.2999999999997
