Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
dy-erlang27-self,unknown,8,100,100,0,0.10860514640808105,920.766679179756,0.0027926108298039435,0.02571343,1,0.8099999999999999,1.46,1.6199999999999999,51.24333333333333,51.25,153.73
dy-erlang27-self,unknown,8,1000,1000,0,0.8014242649078369,1247.778541014102,0.45957644409715737,0.5734496249000001,2,0.7899999999999999,1.39,1.5799999999999998,48.876666666666665,49.18,146.63
dy-erlang27-self,unknown,8,5000,5000,0,4.108376502990723,1217.02575125727,11.923911430530612,2.9023414533333334,3,49.230000000000004,111.43,196.92000000000002,53.278,54.82,266.39
dy-erlang27-self,unknown,8,8000,8000,0,6.277809143066406,1274.3299163268903,18.857825974349613,3.0038864745,6,66.175,139.42,397.05,51.72666666666667,53.98,310.36
dy-erlang27-self,unknown,8,10000,10000,0,8.487067937850952,1178.2632203757455,24.593412246363517,2.8977513113428572,7,67.11857142857143,131.02,469.83000000000004,57.76857142857143,64.72,404.38
dy-erlang27-self,unknown,8,15000,14999,1,12.757292032241821,1175.7981209562442,53.59581419220317,4.2011905078875,8,86.89666666666668,149.72,782.07,54.404444444444444,57.47,489.64
dy-erlang27-self,unknown,8,20000,20000,0,18.166488885879517,1100.9282049843787,57.837843028592275,3.1837656352818176,11,91.45363636363636,151.4,1005.99,57.58272727272727,62.62,633.41
dy-erlang27-self,unknown,8,30000,29999,1,29.19992423057556,1027.3999262157904,130.48004808638842,4.468506392552941,17,128.8958823529412,195.33,2191.23,67.56117647058824,88.79,1148.54
dy-erlang27-self,unknown,8,40000,39999,1,38.90299320220947,1028.1985191239276,177.38200166065863,4.559597785668181,22,128.5259090909091,202.08,2827.57,69.75863636363637,99.16,1534.69
dy-erlang27-self,unknown,8,50000,49999,1,51.053548097610474,979.363861340329,298.3873652737118,5.844596044592591,27,156.44964285714286,229.63,4380.59,83.49,139.9,2337.72
dy-erlang27-self,unknown,8,60000,59998,2,62.06649470329285,966.7051488380056,327.6841351091515,5.27956567670909,33,147.11666666666667,206.79,4854.85,96.93363636363637,178.8,3198.81
dy-erlang27-self,unknown,8,70000,69995,5,76.040363073349,920.5637265629251,413.125634283184,5.43297819192,40,152.518,221.5,6100.72,123.70625,292.0,4948.25
dy-erlang27-self,unknown,8,80000,79986,14,91.70851230621338,872.3290563571805,447.9738470555532,4.884757540933333,45,133.59744680851063,181.27,6279.08,133.51520833333333,323.7,6408.73
