Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
st-apache-deb-self,unknown,8,100,100,0,0.11775827407836914,849.1972286673389,0.0,0.0,0,0.056666666666666664,0.15,0.16999999999999998,10.139333333333333,10.34,30.418
st-apache-deb-self,unknown,8,1000,1000,0,0.7869307994842529,1270.7597677653366,0.04098866719049177,0.0520867492,2,0.06,0.16,0.18,14.24,14.32,42.72
st-apache-deb-self,unknown,8,5000,5000,0,3.84552001953125,1300.2142687088326,1.0671511694398423,0.27750503547500005,4,6.86,15.37,27.44,16.11,16.3,64.44
st-apache-deb-self,unknown,8,8000,8000,0,6.143024921417236,1302.2900122232204,2.3059660984678287,0.37537957732000005,5,7.728333333333333,15.42,46.37,10.238666666666667,10.54,61.432
st-apache-deb-self,unknown,8,10000,10000,0,9.309471130371094,1074.1748763123755,5.295317224814585,0.5688096724999999,4,9.317142857142857,15.99,65.22,10.320571428571428,10.65,72.244
st-apache-deb-self,unknown,8,15000,15000,0,14.026033163070679,1069.4399354119375,6.324988816438609,0.4509463754222222,9,11.8,15.87,106.2,36.24333333333333,36.52,326.19
st-apache-deb-self,unknown,8,20000,20000,0,18.415194034576416,1086.0596941008575,9.278380878064352,0.5038437749090908,11,12.836363636363636,16.14,141.2,18.346666666666668,18.68,220.16
st-apache-deb-self,unknown,8,30000,28231,1769,32.658782958984375,918.5890373709426,18.829252838605345,0.5765448413142857,14,12.395294117647058,16.03,210.72,14.423157894736843,14.69,274.04
st-apache-deb-self,unknown,8,40000,28284,11716,60.649413108825684,659.5282287105795,33.08738460803043,0.54555160408,15,11.726111111111111,16.13,211.07,12.334375,12.61,394.7
st-apache-deb-self,unknown,8,50000,37443,12557,70.9241852760315,704.9781369416347,35.668371726514685,0.50290844495,20,12.152727272727274,16.34,267.36,10.311756756756758,10.82,381.535
st-apache-deb-self,unknown,8,60000,47871,12129,82.9467282295227,723.3558367000735,39.64245939655378,0.4779267397607142,28,12.976206896551725,16.04,376.31,24.316046511627906,24.79,1045.59
st-apache-deb-self,unknown,8,70000,56463,13537,97.86468148231506,715.2733646065109,51.92630975491788,0.530592947,30,14.0728125,16.28,450.33,12.4646,12.95,623.23
st-apache-deb-self,unknown,8,80000,57387,22613,124.85762763023376,640.729777734687,58.20114075433232,0.4661400497428573,35,11.760769230769231,16.1,458.67,12.2928125,12.77,786.74
