Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
st-erlindex26-self,unknown,8,100,100,0,0.1118171215057373,894.317423426689,0.00269366025629878,0.024089872999999998,1,0.6599999999999999,1.16,1.3199999999999998,34.446666666666665,34.49,103.34
st-erlindex26-self,unknown,8,1000,1000,0,1.8736631870269775,533.7138536551723,1.0981512531220017,0.5860985372,2,1.8450000000000002,2.24,3.6900000000000004,37.843333333333334,38.27,113.53
st-erlindex26-self,unknown,8,5000,5000,0,4.017543077468872,1244.5417270174223,11.22526484787314,2.7940621,3,52.0525,106.26,208.21,40.989999999999995,42.92,163.95999999999998
st-erlindex26-self,unknown,8,8000,8000,0,6.320360422134399,1265.7506005485654,21.477129112590106,3.39808613404,5,60.41833333333333,133.65,362.51,42.625,46.76,255.75
st-erlindex26-self,unknown,8,10000,9999,1,8.290672540664673,1206.1747645865034,28.78736535226453,3.4722593626833334,6,73.11428571428571,145.49,511.8,43.285714285714285,49.08,303.0
st-erlindex26-self,unknown,8,15000,15000,0,13.676294088363647,1096.7883480044945,47.76558761941534,3.4925826624374996,8,91.05555555555556,148.43,819.5,42.77444444444445,46.39,384.97
st-erlindex26-self,unknown,8,20000,20000,0,18.2604820728302,1095.2613364878264,69.19532344949378,3.7893481220000003,10,97.20363636363636,151.15,1069.24,46.14636363636364,52.71,507.61
st-erlindex26-self,unknown,8,30000,30000,0,28.677865743637085,1046.1029515997461,129.8494292289445,4.527862372664706,17,127.55941176470587,194.9,2168.5099999999998,51.288823529411765,64.89,871.91
st-erlindex26-self,unknown,8,40000,40000,0,39.318737506866455,1017.3266624599677,185.96614006215987,4.729707814999999,20,122.9090909090909,174.4,2704.0,57.73545454545455,86.37,1270.18
st-erlindex26-self,unknown,8,50000,49997,3,51.20554161071777,976.456813602662,277.1096239334032,5.411711608092857,28,150.8017857142857,219.57,4222.45,66.21035714285713,115.6,1853.8899999999999
st-erlindex26-self,unknown,8,60000,59993,7,62.990527629852295,952.5241692302474,333.29540948962864,5.291198883872727,33,142.8438235294118,224.58,4856.6900000000005,85.94117647058823,168.0,2922.0
st-erlindex26-self,unknown,8,70000,69994,6,77.27943325042725,905.8037443566914,445.1757469614425,5.760597978492308,39,153.2051219512195,229.95,6281.41,106.4829268292683,241.3,4365.8
st-erlindex26-self,unknown,8,80000,79992,8,92.98243832588196,860.3775233299269,511.93063767898644,5.505670177036957,46,153.54638297872341,218.24,7216.68,120.16395833333333,251.3,5767.87
