Container Name,Type,Num CPUs,Total Requests,Successful Requests,Failed Requests,Execution Time (s),Requests/s,Total Energy (J),Avg Power (W),Samples,Avg CPU (%),Peak CPU (%),Total CPU (%),Avg Mem (MB),Peak Mem (MB),Total Mem (MB)
st-erlang26-self,unknown,8,100,100,0,0.11100244522094727,900.8810553763279,0.0024899429137878416,0.022431424,1,0.455,0.75,0.91,36.303333333333335,36.36,108.91
st-erlang26-self,unknown,8,1000,1000,0,1.873694658279419,533.7048892044569,1.0709463235421806,0.5715692889499999,2,1.51,1.86,3.02,36.123333333333335,36.38,108.37
st-erlang26-self,unknown,8,5000,5000,0,3.9031126499176025,1281.0288732264885,11.527162040311975,2.9533254799999997,3,72.96333333333332,117.28,218.89,38.1225,39.46,152.49
st-erlang26-self,unknown,8,8000,8000,0,6.23690390586853,1282.687711842491,27.477821510718584,4.405683,4,63.99,135.46,383.94,40.03333333333333,42.3,240.2
st-erlang26-self,unknown,8,10000,10000,0,8.241771697998047,1213.3313523388463,27.044544209005203,3.2813993398499997,6,67.95,135.22,475.65000000000003,38.61571428571428,41.37,270.31
st-erlang26-self,unknown,8,15000,15000,0,13.630583047866821,1100.4664985587312,62.40819599553317,4.578541928571428,7,90.68111111111111,153.54,816.13,46.81,54.66,421.29
st-erlang26-self,unknown,8,20000,19999,1,18.371894121170044,1088.619380674194,80.56566120077993,4.38526701,10,101.82166666666666,160.86,1221.86,43.557500000000005,47.38,522.69
st-erlang26-self,unknown,8,30000,29999,1,28.580571174621582,1049.6641168122915,129.4334691172769,4.528722268231249,16,119.41,192.13,2029.97,51.445882352941176,64.85,874.58
st-erlang26-self,unknown,8,40000,39999,1,39.60531711578369,1009.9654014399753,223.97711623874153,5.655228452885715,21,148.33227272727274,210.4,3263.31,58.003181818181815,84.9,1276.07
st-erlang26-self,unknown,8,50000,49996,4,50.71292209625244,985.9420032058234,279.85243801140683,5.5183654667,27,152.28111111111113,217.35,4111.59,67.27777777777777,111.6,1816.5
st-erlang26-self,unknown,8,60000,59999,1,63.17183756828308,949.7903228657135,350.1016691884926,5.542052956906061,33,152.18970588235294,241.51,5174.45,91.26970588235294,221.8,3103.17
st-erlang26-self,unknown,8,70000,69992,8,77.07858848571777,908.1640099438329,470.61381949478636,6.105636192105262,38,164.17249999999999,233.97,6566.9,107.01365853658538,224.9,4387.56
st-erlang26-self,unknown,8,80000,79994,6,91.83156108856201,871.1601877577612,479.37084490625267,5.220109940676596,47,146.17958333333334,211.68,7016.62,137.069375,343.4,6579.33
